AP_ID,AP_NAME,LONGITUDE,LATITUDE,ALTITUDE,Floor
67,SFO-T2-T204P-17D1,-122.383811,37.616333,2.74,Arrival
76,SFO-T2-T212P-57D1,-122.383678,37.616904,2.74,Arrival
78,SFO-T2-T205P-28D1,-122.384223,37.617341,2.44,Arrival
624,T215P-30D1,-122.382734,37.617329,2.74,Arrival
625,T216P-31D1,-122.381447,37.617048,2.44,Arrival
627,T205P-36D1,-122.383875,37.61754,2.13,Arrival
632,T215P-42D1,-122.382425,37.617413,2.74,Arrival
633,T217P-20D1,-122.381319,37.618193,2.13,Arrival
634,T216P-34D1,-122.381019,37.616805,2.44,Arrival
635,T217P-28D1,-122.381547,37.617684,2.44,Arrival
638,T214P-31D1,-122.383071,37.616527,2.74,Arrival
639,T212P-62D1,-122.383462,37.616925,2.74,Arrival
641,T217P-18D1,-122.381595,37.618288,2.13,Arrival
642,T216P-32D1,-122.381177,37.616934,2.44,Arrival
643,T204P-19D1,-122.383692,37.616063,3.35,Arrival
644,T213P-31D1,-122.383584,37.617513,2.44,Arrival
646,T214P-29D1,-122.383197,37.616727,3.05,Arrival
647,T213P-30D1,-122.383512,37.617647,2.44,Arrival
648,T217P-29D1,-122.381734,37.617626,2.44,Arrival
649,T216P-24D1,-122.380912,37.617144,2.44,Arrival
650,T217P-22D1,-122.381178,37.618084,2.13,Arrival
652,T217P-25D1,-122.381371,37.617821,2.13,Arrival
653,T217P-17D1,-122.381567,37.618298,2.13,Arrival
654,T215P-29D1,-122.382663,37.617491,2.44,Arrival
655,T215P-38D1,-122.381969,37.617186,2.13,Arrival
626,T215P-40D1,-122.382071,37.617349,2.74,Arrival
631,T215P-41D1,-122.38235,37.617149,2.74,Arrival
636,T216P-26D1,-122.381041,37.616976,2.44,Arrival
640,T215P-39D1,-122.381894,37.61736,2.44,Arrival
645,T217P-23D1,-122.381122,37.617776,2.13,Arrival
